,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
172,Representative,Scott Peters,Democratic,California,52,, 61.6,62.0,D,03/01/2023
173,Representative,Sara Jacobs,Democratic,California,53,, 59.5,31.0,M,03/01/2023
174,Representative,Diana DeGette,Democratic,Colorado,1,, 73.6,63.0,D,03/01/2023
175,Representative,Joe Neguse,Democratic,Colorado,2,, 61.5,36.0,D,03/01/2023
176,Representative,Lauren Boebert,Republican,Colorado,3,, 51.4,34.0,N,03/01/2023
177,Representative,Ken Buck,Republican,Colorado,4,, 60.1,61.0,D,03/01/2023
178,Representative,Doug Lamborn,Republican,Colorado,5,, 57.6,66.0,D,03/01/2023
179,Representative,Jason Crow,Democratic,Colorado,6,, 57.1,41.0,D,03/01/2023
180,Representative,Ed Perlmutter,Democratic,Colorado,7,, 59.1,67.0,D,03/01/2023
181,Representative,John B. Larson,Democratic,Connecticut,1,, 63.8,72.0,B,03/01/2023
182,Representative,Joe Courtney,Democratic,Connecticut,2,, 59.4,67.0,D,03/01/2023
183,Representative,Rosa DeLauro,Democratic,Connecticut,3,, 58.7,77.0,M,03/01/2023
184,Representative,Jim Himes,Democratic,Connecticut,4,, 62.2,54.0,M,03/01/2023
185,Representative,Jahana Hayes,Democratic,Connecticut,5,, 55.1,47.0,D,03/01/2023
186,Representative,Lisa Blunt Rochester,Democratic,Delaware,at-large,, 57.6,58.0,M,03/01/2023
187,Representative,Matt Gaetz,Republican,Florida,1,, 64.6,38.0,D,03/01/2023
188,Representative,Neal Dunn,Republican,Florida,2,, 97.9,67.0,D,03/01/2023
189,Representative,Kat Cammack,Republican,Florida,3,, 57.1,32.0,M,03/01/2023
190,Representative,John Rutherford,Republican,Florida,4,, 61.1,68.0,B,03/01/2023
191,Representative,Al Lawson,Democratic,Florida,5,, 65.1,72.0,M,03/01/2023
192,Representative,Michael Waltz,Republican,Florida,6,, 60.6,46.0,B,03/01/2023
193,Representative,Stephanie Murphy,Democratic,Florida,7,, 55.3,42.0,M,03/01/2023
194,Representative,Bill Posey,Republican,Florida,8,, 61.4,73.0,N,03/01/2023
195,Representative,Darren Soto,Democratic,Florida,9,, 56.0,42.0,D,03/01/2023
196,Representative,Val Demings,Democratic,Florida,10,, 63.6,63.0,M,03/01/2023
197,Representative,Daniel Webster,Republican,Florida,11,, 66.7,71.0,B,03/01/2023
198,Representative,Gus Bilirakis,Republican,Florida,12,, 62.9,57.0,D,03/01/2023
199,Representative,Charlie Crist,Democratic,Florida,13,, 53.0,64.0,D,31/08/2022
200,Representative,Kathy Castor,Democratic,Florida,14,, 60.3,54.0,D,03/01/2023
201,Representative,Scott Franklin,Republican,Florida,15,, 55.4,56.0,M,03/01/2023
